"calls","total_ms","mean_ms","max_ms","rows","total_time_pct","query"
52666,1016014.63,19.29,377.48,10,0.69,"SELECT ""public"".""KanbanComments"".""id"", ""public"".""KanbanComments"".""message"", ""public"".""KanbanComments"".""createdAt"", ""public"".""KanbanComments"".""kanbanCardId"" FROM ""public"".""KanbanComments"" WHERE ""public"".""KanbanComments"".""kanbanCardId"" IN ($1) OFFSET $2"
3629,959851.50,264.49,30437.67,172617,0.65,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $5
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""Contacts"".""isActive"",
        ""ChatModerators"".""transferModeratorId"",
        ""ChatModerators"".""moderatorId""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id"" 
        AND ""Contacts"".""accountId"" = $1::uuid 
        AND ""Contacts"".""isDeleted"" = $6 
        AND ""ContactsChannels"".""channelId"" = $2::uuid
        LEFT JOIN ""ChatModerators"" ON ""Contacts"".""id"" = ""ChatModerators"".""contactId"" 
      WHERE ""ContactsChannels"".""isArchived"" = $7
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $3
      OFFSET $4"
7057,944116.89,133.78,12209.38,106607,0.64,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $5
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""ContactsChannels"".""needsHumanAttention"",
        ""Contacts"".""isActive"",
        ""ContactsChannels"".""transferModerator"",
        ""ContactsChannels"".""transferModeratorAt"",
        ""ContactsChannels"".""moderatorId"",
        ""ContactsChannels"".""callUnanswered"",
        ""ContactsChannels"".""callUnansweredAt""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $6
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $7 AND ""ContactsChannels"".""isVisualized"" = $8
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $3
      OFFSET $4"
5041,920665.89,182.64,7449.16,312080864,0.63,"SELECT ""public"".""KanbanCards"".""id"", ""public"".""KanbanCards"".""kanbanId"", ""public"".""KanbanCards"".""columnId"", ""public"".""KanbanCards"".""contactId"", ""public"".""KanbanCards"".""description"", ""public"".""KanbanCards"".""priority""::text, ""public"".""KanbanCards"".""createdAt"", ""public"".""KanbanCards"".""isDeleted"", ""public"".""KanbanCards"".""position"", ""public"".""KanbanCards"".""statusOportunity""::text, ""public"".""KanbanCards"".""statusOportunityUpdatedAt"", ""public"".""KanbanCards"".""lossReasonId"", ""public"".""KanbanCards"".""lossReasonMessage"", ""public"".""KanbanCards"".""ownerId"", ""public"".""KanbanCards"".""amount"", ""public"".""KanbanCards"".""closedColumnId"" FROM ""public"".""KanbanCards"" WHERE (""public"".""KanbanCards"".""isDeleted"" = $1 AND ""public"".""KanbanCards"".""columnId"" IN ($2,$3,$4,$5,$6,$7,$8,$9,$10)) ORDER BY ""public"".""KanbanCards"".""position"" DESC OFFSET $11"
3718,864681.10,232.57,4581.94,88187,0.59,"WITH base AS (
        SELECT
          kc.id, kc.position, kc.""contactId"", kc.""kanbanId"", kc.""columnId"",
          kc.""statusOportunity"", kc.priority, kc.""createdAt"", kc.""isDeleted"", kc.amount,
          c.name AS ""contact_name"",
          c.photo AS ""contact_photo"",
          c.""isActive"" AS ""contact_active""
        FROM ""KanbanCards"" kc JOIN ""Contacts"" c ON kc.""contactId"" = c.id AND c.""isDeleted"" = $8 JOIN ""Kanbans"" k ON kc.""kanbanId"" = k.id JOIN ""KanbanCardsModerators"" kcm ON kc.""id"" = kcm.""kanbanCardId""
        WHERE k.""accountId"" = $1::uuid AND k.id = $2::uuid AND kc.""isDeleted"" = $9 AND kc.""columnId"" = $3::uuid AND kc.""statusOportunity"" = $4::""KanbanCardsStatusOportunityEnum"" AND (kcm.""userId"" = $5::uuid )
      ),
      paginated AS (
        SELECT
          b.*,
          COUNT(*) OVER () AS total_count,
          COALESCE(SUM(amount) OVER (), $10) AS total_amount
        FROM base b
        ORDER BY b.position ASC
        LIMIT $6 OFFSET $7
      )
      SELECT
        p.*,
        EXISTS (
          SELECT $11 FROM ""Messages"" m
          WHERE m.""contactId"" = p.""contactId""
          AND m.from = $12
          AND m.""readAt"" IS NULL
          AND m.""isObservation"" = $13
        ) AS ""hasActivity"",
        (
          SELECT COALESCE(json_agg(json_build_object($14, json_build_object($15, u.id, $16, u.name))), $17::json)
          FROM ""KanbanCardsModerators"" kcm JOIN ""Users"" u ON kcm.""userId"" = u.id
          WHERE kcm.""kanbanCardId"" = p.id
        ) AS moderators,
        (
          SELECT COALESCE(json_agg(json_build_object($18, t.id, $19, t.name)), $20::json)
          FROM ""TagsContacts"" tc JOIN ""Tags"" t ON tc.""tagId"" = t.id
          WHERE tc.""contactId"" = p.""contactId""
        ) AS tags
      FROM paginated p"
9068,858912.02,94.72,10896.05,96405,0.59,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $8
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""ContactsChannels"".""needsHumanAttention"",
        ""Contacts"".""isActive"",
        ""ContactsChannels"".""transferModerator"",
        ""ContactsChannels"".""transferModeratorAt"",
        ""ContactsChannels"".""moderatorId"",
        ""ContactsChannels"".""callUnanswered"",
        ""ContactsChannels"".""callUnansweredAt""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $9
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $10 AND (""Contacts"".""name"" ILIKE $3 OR ""Contacts"".""email"" ILIKE $4 OR ""Contacts"".""phone"" LIKE $5)
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $6
      OFFSET $7"
290554,788184.55,2.71,265.19,1506962,0.54,"SELECT ""public"".""IGAutomations"".""id"", ""public"".""IGAutomations"".""accountId"", ""public"".""IGAutomations"".""name"", ""public"".""IGAutomations"".""type""::text, ""public"".""IGAutomations"".""firstStepId"", ""public"".""IGAutomations"".""x"", ""public"".""IGAutomations"".""y"", ""public"".""IGAutomations"".""shared"", ""public"".""IGAutomations"".""isActive"", ""public"".""IGAutomations"".""createdAt"", ""public"".""IGAutomations"".""folderId"" FROM ""public"".""IGAutomations"" WHERE (""public"".""IGAutomations"".""accountId"" = $1 AND ""public"".""IGAutomations"".""isActive"" = $2 AND (""public"".""IGAutomations"".""id"") IN (SELECT ""t1"".""automationId"" FROM ""public"".""IGAutomationsTriggers"" AS ""t1"" WHERE (""t1"".""typeTrigger"" = CAST($3::text AS ""public"".""TriggerTypesEnum"") AND ""t1"".""automationId"" IS NOT NULL))) OFFSET $4"
970,780524.81,804.66,19306.72,1512,0.53,"SELECT ""public"".""ContactsFolders"".""id"", ""public"".""ContactsFolders"".""name"", COALESCE(""aggr_selection_0_Contacts"".""_aggr_count_contacts"", $4) AS ""_aggr_count_contacts"" FROM ""public"".""ContactsFolders"" LEFT JOIN (SELECT ""public"".""Contacts"".""folderId"", COUNT(*) AS ""_aggr_count_contacts"" FROM ""public"".""Contacts"" WHERE ""public"".""Contacts"".""isDeleted"" = $1 GROUP BY ""public"".""Contacts"".""folderId"") AS ""aggr_selection_0_Contacts"" ON (""public"".""ContactsFolders"".""id"" = ""aggr_selection_0_Contacts"".""folderId"") WHERE ""public"".""ContactsFolders"".""accountId"" = $2 OFFSET $3"
9161,707690.56,77.25,8453.31,9161,0.48,"SELECT
         COUNT(DISTINCT ""Contacts"".""id"")::integer AS count
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $6
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""isArchived"" = $7 AND ""ContactsChannels"".""isVisualized"" = $8 AND (""Contacts"".""name"" ILIKE $3 OR ""Contacts"".""email"" ILIKE $4 OR ""Contacts"".""phone"" LIKE $5)"
2906,674244.87,232.02,4432.38,148534344,0.46,"SELECT ""public"".""KanbanCards"".""id"", ""public"".""KanbanCards"".""kanbanId"", ""public"".""KanbanCards"".""columnId"", ""public"".""KanbanCards"".""contactId"", ""public"".""KanbanCards"".""description"", ""public"".""KanbanCards"".""priority""::text, ""public"".""KanbanCards"".""createdAt"", ""public"".""KanbanCards"".""isDeleted"", ""public"".""KanbanCards"".""position"", ""public"".""KanbanCards"".""statusOportunity""::text, ""public"".""KanbanCards"".""statusOportunityUpdatedAt"", ""public"".""KanbanCards"".""lossReasonId"", ""public"".""KanbanCards"".""lossReasonMessage"", ""public"".""KanbanCards"".""ownerId"", ""public"".""KanbanCards"".""amount"", ""public"".""KanbanCards"".""closedColumnId"" FROM ""public"".""KanbanCards"" WHERE (""public"".""KanbanCards"".""isDeleted"" = $1 AND ""public"".""KanbanCards"".""columnId"" IN ($2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13)) ORDER BY ""public"".""KanbanCards"".""position"" DESC OFFSET $14"
