"calls","total_ms","mean_ms","max_ms","rows","total_time_pct","query"
15976,1826732.31,114.34,14222.47,1766182,1.24,"UPDATE ""KanbanCards""
          SET ""position"" = ""position"" - $3
          WHERE ""columnId"" = $1::uuid
            AND ""position"" > $2"
1516,1794390.01,1183.63,17461.34,21948951,1.22,"WITH ""OrderedCards"" AS (
        SELECT
          id,
          ""columnId"",
          position,
          ROW_NUMBER() OVER (PARTITION BY ""columnId"" ORDER BY position) AS new_position
        FROM ""KanbanCards""
        WHERE
          ""columnId"" = $1::uuid
          AND ""isDeleted"" = $2
      )
      UPDATE ""KanbanCards""
      SET position = ""OrderedCards"".new_position - $3 FROM ""OrderedCards""
      WHERE ""KanbanCards"".id = ""OrderedCards"".id
        AND ""KanbanCards"".""isDeleted"" = $4"
1897,1709498.39,901.16,11728.74,23725,1.16,"SELECT ""public"".""IGAutomationsTriggers"".""id"", ""public"".""IGAutomationsTriggers"".""typeTrigger""::text, ""public"".""IGAutomationsTriggers"".""commentsPubReelsChoise""::text, ""public"".""IGAutomationsTriggers"".""storyTimer"", ""public"".""IGAutomationsTriggers"".""storyChoise""::text, ""public"".""IGAutomationsTriggers"".""storyReaction"", ""public"".""IGAutomationsTriggers"".""automationId"", COALESCE(""aggr_selection_0_IGAutomationsExecutions"".""_aggr_count_executions"", $12) AS ""_aggr_count_executions"" FROM ""public"".""IGAutomationsTriggers"" LEFT JOIN (SELECT ""public"".""IGAutomationsExecutions"".""triggerId"", COUNT(*) AS ""_aggr_count_executions"" FROM ""public"".""IGAutomationsExecutions"" WHERE $13=$14 GROUP BY ""public"".""IGAutomationsExecutions"".""triggerId"") AS ""aggr_selection_0_IGAutomationsExecutions"" ON (""public"".""IGAutomationsTriggers"".""id"" = ""aggr_selection_0_IGAutomationsExecutions"".""triggerId"") WHERE ""public"".""IGAutomationsTriggers"".""automationId"" IN ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10) OFFSET $11"
763,1457730.39,1910.52,28304.67,1425,0.99,"SELECT ""public"".""Accounts"".""id"", ""public"".""Accounts"".""name"", ""public"".""Accounts"".""description"", ""public"".""Accounts"".""photo"", ""public"".""Accounts"".""plan""::text, ""public"".""Accounts"".""planLeads"", ""public"".""Accounts"".""paymentPeriod""::text, ""public"".""Accounts"".""nextDatePayment"", ""public"".""Accounts"".""isCanceled"", ""public"".""Accounts"".""userId"", COALESCE(""aggr_selection_0_Contacts"".""_aggr_count_contacts"", $11) AS ""_aggr_count_contacts"", COALESCE(""aggr_selection_1_Channels"".""_aggr_count_Channels"", $12) AS ""_aggr_count_Channels"", COALESCE(""aggr_selection_2_Agents"".""_aggr_count_agents"", $13) AS ""_aggr_count_agents"", COALESCE(""aggr_selection_3_OpenaiAssistants"".""_aggr_count_assistants"", $14) AS ""_aggr_count_assistants"", COALESCE(""aggr_selection_4_IGAutomations"".""_aggr_count_igAutomations"", $15) AS ""_aggr_count_igAutomations"" FROM ""public"".""Accounts"" LEFT JOIN (SELECT ""public"".""Contacts"".""accountId"", COUNT(*) AS ""_aggr_count_contacts"" FROM ""public"".""Contacts"" WHERE (""public"".""Contacts"".""isDeleted"" = $1 AND ""public"".""Contacts"".""isActive"" = $2) GROUP BY ""public"".""Contacts"".""accountId"") AS ""aggr_selection_0_Contacts"" ON (""public"".""Accounts"".""id"" = ""aggr_selection_0_Contacts"".""accountId"") LEFT JOIN (SELECT ""public"".""Channels"".""accountId"", COUNT(*) AS ""_aggr_count_Channels"" FROM ""public"".""Channels"" WHERE ""public"".""Channels"".""isDeleted"" = $3 GROUP BY ""public"".""Channels"".""accountId"") AS ""aggr_selection_1_Channels"" ON (""public"".""Accounts"".""id"" = ""aggr_selection_1_Channels"".""accountId"") LEFT JOIN (SELECT ""public"".""Agents"".""accountId"", COUNT(*) AS ""_aggr_count_agents"" FROM ""public"".""Agents"" WHERE ""public"".""Agents"".""isDeleted"" = $4 GROUP BY ""public"".""Agents"".""accountId"") AS ""aggr_selection_2_Agents"" ON (""public"".""Accounts"".""id"" = ""aggr_selection_2_Agents"".""accountId"") LEFT JOIN (SELECT ""public"".""OpenaiAssistants"".""accountId"", COUNT(*) AS ""_aggr_count_assistants"" FROM ""public"".""OpenaiAssistants"" WHERE ""public"".""OpenaiAssistants"".""isDeleted"" = $5 GROUP BY ""public"".""OpenaiAssistants"".""accountId"") AS ""aggr_selection_3_OpenaiAssistants"" ON (""public"".""Accounts"".""id"" = ""aggr_selection_3_OpenaiAssistants"".""accountId"") LEFT JOIN (SELECT ""public"".""IGAutomations"".""accountId"", COUNT(*) AS ""_aggr_count_igAutomations"" FROM ""public"".""IGAutomations"" WHERE $16=$17 GROUP BY ""public"".""IGAutomations"".""accountId"") AS ""aggr_selection_4_IGAutomations"" ON (""public"".""Accounts"".""id"" = ""aggr_selection_4_IGAutomations"".""accountId"") WHERE ((""public"".""Accounts"".""userId"" = $6 OR (""public"".""Accounts"".""id"") IN (SELECT ""t1"".""accountId"" FROM ""public"".""Moderators"" AS ""t1"" WHERE (""t1"".""userId"" = $7 AND ""t1"".""pending"" = $8 AND ""t1"".""accountId"" IS NOT NULL))) AND ""public"".""Accounts"".""isDeleted"" = $9) OFFSET $10"
15957,1250897.53,78.39,2552.86,312080,0.85,"UPDATE ""KanbanCards""
          SET ""position"" = ""position"" + $3
          WHERE ""columnId"" = $1::uuid
            AND ""position"" >= $2"
35564,1249868.82,35.14,10633.58,1208792,0.85,"SELECT
          ""Contacts"".""id"",
        ""Contacts"".""name"",
        ""Contacts"".""photo"",
        ""ContactsChannels"".""lastUpdate"",
        ""ContactsChannels"".""isVisualized"",
        ""ContactsChannels"".""servedByAssistant"",
        ""ContactsChannels"".""servedByAssistantId"",
        ""ContactsChannels"".""servedByAssistantName"",
        EXISTS (
          SELECT $6
          FROM ""IGAutomationsBlacklist""
          WHERE ""IGAutomationsBlacklist"".""contactId"" = ""ContactsChannels"".""contactId""
            AND (
              ""IGAutomationsBlacklist"".""channelId"" = ""ContactsChannels"".""channelId""
              OR ""IGAutomationsBlacklist"".""channelId"" IS NULL
            )
        ) AS ""blackListed"",
        ""ContactsChannels"".""isArchived"",
        ""ContactsChannels"".""blockedAgent"",
        ""ContactsChannels"".""needsHumanAttention"",
        ""Contacts"".""isActive"",
        ""ContactsChannels"".""transferModerator"",
        ""ContactsChannels"".""transferModeratorAt"",
        ""ContactsChannels"".""moderatorId"",
        ""ContactsChannels"".""callUnanswered"",
        ""ContactsChannels"".""callUnansweredAt""
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id""
        AND ""Contacts"".""accountId"" = $1::uuid
        AND ""Contacts"".""isDeleted"" = $7
        AND ""ContactsChannels"".""channelId"" = $2::uuid
      WHERE ""ContactsChannels"".""moderatorId"" = $3::uuid AND ""ContactsChannels"".""isArchived"" = $8
    
      ORDER BY
        ""ContactsChannels"".""lastUpdate"" DESC NULLS LAST 
      LIMIT $4
      OFFSET $5"
12538,1227275.25,97.88,1456.77,26105,0.84,"SELECT ""public"".""KanbanCardsHistory"".""id"", ""public"".""KanbanCardsHistory"".""kanbanId"", ""public"".""KanbanCardsHistory"".""columnId"", ""public"".""KanbanCardsHistory"".""action""::text, ""public"".""KanbanCardsHistory"".""createdAt"", ""public"".""KanbanCardsHistory"".""userId"", ""public"".""KanbanCardsHistory"".""nameUser"", ""public"".""KanbanCardsHistory"".""cardId"", ""public"".""KanbanCardsHistory"".""oldColumnId"", ""public"".""KanbanCardsHistory"".""newColumnId"", ""public"".""KanbanCardsHistory"".""oldPriority""::text, ""public"".""KanbanCardsHistory"".""newPriority""::text, ""public"".""KanbanCardsHistory"".""oldKanbanId"", ""public"".""KanbanCardsHistory"".""newKanbanId"", ""public"".""KanbanCardsHistory"".""tagId"", ""public"".""KanbanCardsHistory"".""assistantId"", ""public"".""KanbanCardsHistory"".""assistantName"", ""public"".""KanbanCardsHistory"".""automationId"", ""public"".""KanbanCardsHistory"".""automationName"", ""public"".""KanbanCardsHistory"".""statusOportunity""::text FROM ""public"".""KanbanCardsHistory"" WHERE ""public"".""KanbanCardsHistory"".""cardId"" IN ($1) OFFSET $2"
52671,1082001.60,20.54,282.91,4,0.74,"SELECT ""public"".""KanbanComments"".""id"", ""public"".""KanbanComments"".""message"", ""public"".""KanbanComments"".""createdAt"", ""public"".""KanbanComments"".""kanbanCardId"" FROM ""public"".""KanbanComments"" WHERE ""public"".""KanbanComments"".""kanbanCardId"" IN ($1,$2) OFFSET $3"
689,1056533.16,1533.43,12265.74,1986,0.72,"SELECT
        c.id, c.name, c.photo, COUNT(i.id)::int as quantity
      FROM ""Contacts"" c
      LEFT JOIN ""Interactions"" i ON i.""contactId"" = c.id
      WHERE c.""accountId"" = $1::uuid
        AND c.""isDeleted"" = $4
        AND ($2 = $5 OR i.""createdAt"" > $3)
      GROUP BY c.id, c.name, c.photo
      ORDER BY quantity DESC, c.name ASC
      LIMIT $6"
3950,1021831.83,258.69,14539.10,3950,0.70,"SELECT
         COUNT(DISTINCT ""Contacts"".""id"")::integer AS count
      FROM
        ""ContactsChannels""
        INNER JOIN ""Contacts"" ON ""ContactsChannels"".""contactId"" = ""Contacts"".""id"" 
        AND ""Contacts"".""accountId"" = $1::uuid 
        AND ""Contacts"".""isDeleted"" = $3 
        AND ""ContactsChannels"".""channelId"" = $2::uuid
        LEFT JOIN ""ChatModerators"" ON ""Contacts"".""id"" = ""ChatModerators"".""contactId"" 
      WHERE ""ContactsChannels"".""isArchived"" = $4 AND ""ContactsChannels"".""isVisualized"" = $5"
